,C_LAT,C_LONG,H_LAT,H_LONG
637,-12.072587,-76.95799499999998,-12.062048,-76.94530799999998
638,-12.066713,-77.10657299999998,-12.061774,-77.106525
639,-12.0144,-76.99911199999998,-12.012309,-76.99941599999998
640,-12.07141,-77.050047,-12.071633,-77.049739
641,-12.069404,-77.047172,-12.071633,-77.049739
642,-12.152329,-77.018831,-12.155444,-77.020797
643,-12.041115,-77.06813699999998,-12.041227,-77.068872
644,-12.058832,-77.078258,-12.055619,-77.08202
645,-12.145766,-77.02305,-12.155444,-77.020797
646,-12.148303,-77.01841899999998,-12.147,-77.015679
647,-12.047523,-76.997027,-12.044686,-76.99806499999998
648,-12.02032,-77.09953199999998,-12.019832,-77.10227299999998
649,-12.101572,-77.05382199999998,-12.098885,-77.05142999999998
650,-12.100602,-77.059493,-12.099447,-77.064521
651,-12.097101,-77.047914,-12.098885,-77.05142999999998
652,-12.032552,-77.097243,-12.042956,-77.09869299999998
653,-12.030733,-77.097368,-12.025037,-77.100943
654,-12.13908,-76.971171,-12.132771,-76.962412
655,-12.035737,-77.086065,-12.042956,-77.09869299999998
656,-12.011284,-76.982675,-12.010544,-76.97943499999998
657,-12.05661,-77.05334899999998,-12.053976,-77.04814
658,-12.066084,-77.052689,-12.064025,-77.057893
659,-12.032068,-77.066985,-12.032111,-77.066517
660,-12.031695,-77.07312899999998,-12.028524,-77.076463
661,-12.037428,-77.06617199999998,-12.038437,-77.063383
662,-12.053537,-77.044448,-12.052711,-77.04196299999998
663,-12.034754,-77.05087299999998,-12.034794,-77.05480799999998
664,-12.055466,-77.052997,-12.053976,-77.04814
665,-12.043475,-77.05614799999998,-12.039215,-77.058147
666,-11.916072,-77.035166,-11.913971,-77.039525
667,-11.916363,-77.034352,-11.913971,-77.039525
668,-11.95198,-77.052752,-11.950983,-77.04994499999998
669,-11.94943,-77.08176299999998,-11.944327,-77.08753
670,-12.135138,-77.02067599999998,-12.12836,-77.017943
671,-12.139343,-77.023111,-12.155444,-77.020797
672,-12.181162,-77.001209,-12.178671,-77.004298
673,-12.174964,-77.003456,-12.178671,-77.004298
674,-12.174403,-76.99926399999998,-12.170666,-76.993812
675,-12.103351,-76.97817,-12.106576,-76.97962699999998
676,-12.080005,-76.984959,-12.079563,-76.99189099999998
677,-12.077871,-76.987238,-12.076238,-76.989688
678,-12.07407,-76.994557,-12.07332,-76.991967
679,-11.899382,-77.041537,-11.899205,-77.038696
680,-12.051387,-76.97118299999998,-12.043567,-76.97517
681,-11.963895,-77.06107799999998,-11.951363,-77.05935599999998
